year,country,People living with HIV (15-49): Male +Female,People living with HIV (15-49): Male,People living with HIV (15-49): Female,Population Aged 15-49:  Male+Female,Population Aged 15-49: Male,Population Aged 15-49: Female,Adult prevalence (15-49): Adults,Adult prevalence (15-49): Male,Adult prevalence (15-49): Female,Total number receiving ART (15-49) 
1985,Angola,3337,1522,1816,4050228,1992053,2058175,0.0824,0.0764,0.0882,0
1986,Angola,5028,2243,2785,4163282,2047817,2115465,0.1208,0.1095,0.1316,0
1987,Angola,7633,3342,4291,4273162,2102019,2171143,0.1786,0.159,0.1976,0
1988,Angola,11569,4992,6577,4385792,2157615,2228176,0.2638,0.2314,0.2952,0
1989,Angola,17350,7396,9954,4508556,2218273,2290284,0.3848,0.3334,0.4346,0
1990,Angola,25440,10748,14693,4641955,2284229,2357726,0.5481,0.4705,0.6232,0
1991,Angola,35981,15093,20888,4786064,2355524,2430540,0.7518,0.6407,0.8594,0
1992,Angola,48509,20224,28285,4941120,2432277,2508842,0.9817,0.8315,1.13,0
1993,Angola,61901,25688,36214,5102605,2512207,2590399,1.21,1.02,1.4,0
1994,Angola,74751,30892,43859,5265964,2592992,2672973,1.42,1.19,1.64,0
1995,Angola,85992,35391,50601,5431349,2674700,2756648,1.58,1.32,1.84,0
1996,Angola,95233,39023,56209,5599326,2757613,2841713,1.7,1.42,1.98,0
1997,Angola,102578,41840,60738,5769298,2841464,2927834,1.78,1.47,2.07,0
1998,Angola,108498,44046,64452,5944961,2928186,3016775,1.83,1.5,2.14,0
1999,Angola,113535,45877,67658,6129957,3019697,3110260,1.85,1.52,2.18,0
2000,Angola,118089,47507,70582,6323787,3115808,3207979,1.87,1.52,2.2,0
2001,Angola,122503,49086,73417,6527634,3217127,3310507,1.88,1.53,2.22,0
2002,Angola,127007,50716,76291,6741970,3323879,3418090,1.88,1.53,2.23,0
2003,Angola,131700,52442,79258,6964428,3434815,3529613,1.89,1.53,2.25,0
2004,Angola,136612,54280,82331,7192531,3548606,3643925,1.9,1.53,2.26,364
2005,Angola,141788,56253,85535,7426526,3665316,3761210,1.91,1.53,2.27,892
2006,Angola,147275,58379,88896,7667432,3785392,3882040,1.92,1.54,2.29,5289
2007,Angola,153203,60714,92488,7915378,3908913,4006465,1.94,1.55,2.31,7829
2008,Angola,159779,63310,96470,8169908,4035584,4134324,1.96,1.57,2.33,12973
2009,Angola,166635,66013,100623,8429572,4164719,4264854,1.98,1.59,2.36,19092
,,,,,,,,,,,
,,,,,,,,,,,
1985,Benin,561,249,312,1801347,874881,926466,0.0311,0.0284,0.0337,0
1986,Benin,887,387,500,1860420,906023,954397,0.0477,0.0427,0.0524,0
1987,Benin,1398,601,797,1921853,938367,983486,0.0728,0.0641,0.0811,0
1988,Benin,2189,932,1258,1987860,973349,1014511,0.1101,0.0957,0.124,0
1989,Benin,3393,1433,1961,2059904,1012025,1047879,0.1647,0.1416,0.1871,0
1990,Benin,5186,2180,3006,2137900,1054357,1083544,0.2426,0.2068,0.2775,0
1991,Benin,7787,3265,4521,2221788,1100291,1121497,0.3505,0.2968,0.4031,0
1992,Benin,11428,4788,6639,2311736,1149907,1161829,0.4943,0.4164,0.5715,0
1993,Benin,16224,6804,9421,2403846,1200594,1203253,0.6749,0.5667,0.7829,0
1994,Benin,21958,9217,12741,2494280,1249782,1244499,0.8803,0.7375,1.02,0
1995,Benin,27992,11752,16239,2583817,1297890,1285927,1.08,0.9055,1.26,0
1996,Benin,33454,14032,19421,2672941,1345203,1327739,1.25,1.04,1.46,0
1997,Benin,37719,15784,21936,2761463,1391586,1369877,1.37,1.13,1.6,0
1998,Benin,40683,16967,23716,2853586,1439723,1413863,1.43,1.18,1.68,0
1999,Benin,42597,17703,24894,2953000,1491983,1461017,1.44,1.19,1.7,0
2000,Benin,43758,18121,25637,3059871,1548312,1511560,1.43,1.17,1.7,52
2001,Benin,44448,18347,26101,3174801,1608940,1565861,1.4,1.14,1.67,948
2002,Benin,44926,18495,26431,3297997,1674021,1623976,1.36,1.1,1.63,1844
2003,Benin,45318,18614,26705,3426409,1741667,1684742,1.32,1.07,1.59,2741
2004,Benin,45674,18717,26957,3556533,1809820,1746713,1.28,1.03,1.54,3637
2005,Benin,46076,18842,27234,3688777,1878832,1809946,1.25,1,1.5,4533
2006,Benin,46638,19039,27599,3824072,1949195,1874877,1.22,0.9768,1.47,7296
2007,Benin,47499,19371,28128,3962478,2020895,1941582,1.2,0.9586,1.45,9765
2008,Benin,48624,19826,28798,4103640,2093696,2009944,1.18,0.947,1.43,12078
2009,Benin,50050,20411,29639,4247070,2167218,2079852,1.18,0.9418,1.43,15401
,,,,,,,,,,,
,,,,,,,,,,,
1985,Botswana,2320,1047,1274,521819,256604,265215,0.4447,0.4079,0.4803,0
1986,Botswana,3661,1622,2038,540800,266333,274467,0.6769,0.6092,0.7427,0
1987,Botswana,5780,2523,3257,560822,276623,284199,1.03,0.9122,1.15,0
1988,Botswana,9100,3928,5173,582049,287546,294503,1.56,1.37,1.76,0
1989,Botswana,14245,6092,8153,604722,299210,305512,2.36,2.04,2.67,0
1990,Botswana,22074,9384,12690,628852,311619,317233,3.51,3.01,4,0
1991,Botswana,33635,14245,19390,654330,324720,329610,5.14,4.39,5.88,0
1992,Botswana,49966,21117,28848,681070,338474,342596,7.34,6.24,8.42,0
1993,Botswana,71631,30287,41344,708941,352805,356136,10.1,8.58,11.61,0
1994,Botswana,98080,41551,56528,737487,367484,370002,13.3,11.31,15.28,0
1995,Botswana,127332,54089,73243,766315,382327,383987,16.62,14.15,19.07,0
1996,Botswana,156569,66695,89874,795447,397351,398096,19.68,16.78,22.58,1393
1997,Botswana,183169,78214,104955,824560,412409,412151,22.21,18.97,25.47,2786
1998,Botswana,205444,87863,117580,852916,427137,425780,24.09,20.57,27.62,4179
1999,Botswana,222728,95306,127422,879489,441024,438465,25.32,21.61,29.06,5571
2000,Botswana,235153,100576,134576,903609,453760,449849,26.02,22.17,29.92,6964
2001,Botswana,243475,104002,139472,925474,465454,460020,26.31,22.34,30.32,8560
2002,Botswana,248543,105967,142576,945264,476198,469066,26.29,22.25,30.4,10156
2003,Botswana,251380,106944,144435,963840,486403,477437,26.08,21.99,30.25,17358
2004,Botswana,253669,107697,145972,983464,497101,486362,25.79,21.66,30.01,35600
2005,Botswana,256558,108746,147812,1004885,508649,496236,25.53,21.38,29.79,53825
2006,Botswana,260053,110068,149985,1027725,520853,506872,25.3,21.13,29.59,72659
2007,Botswana,263902,111509,152393,1051079,533251,517828,25.11,20.91,29.43,85665
2008,Botswana,268146,113106,155040,1075158,545962,529197,24.94,20.72,29.3,108894
2009,Botswana,273313,115140,158173,1100724,559383,541340,24.83,20.58,29.22,131319
,,,,,,,,,,,
,,,,,,,,,,,
1985,Burkina Faso,30535,13393,17141,3350697,1622304,1728393,0.9113,0.8256,0.9918,0
1986,Burkina Faso,53473,23092,30381,3436391,1665761,1770631,1.56,1.39,1.72,0
1987,Burkina Faso,83022,35402,47620,3528001,1712792,1815209,2.35,2.07,2.62,0
1988,Burkina Faso,112614,47557,65057,3623721,1762257,1861464,3.11,2.7,3.49,0
1989,Burkina Faso,135293,56633,78661,3721765,1813035,1908730,3.64,3.12,4.12,0
1990,Burkina Faso,149170,61921,87248,3823265,1865726,1957539,3.9,3.32,4.46,0
1991,Burkina Faso,155880,64145,91735,3927952,1920213,2007739,3.97,3.34,4.57,0
1992,Burkina Faso,157740,64311,93429,4036274,1976727,2059547,3.91,3.25,4.54,0
1993,Burkina Faso,156425,63173,93253,4149634,2036004,2113630,3.77,3.1,4.41,0
1994,Burkina Faso,153007,61202,91806,4268140,2098097,2170043,3.58,2.92,4.23,0
1995,Burkina Faso,148124,58682,89442,4392155,2163177,2228978,3.37,2.71,4.01,0
1996,Burkina Faso,142274,55833,86440,4522525,2231652,2290873,3.15,2.5,3.77,0
1997,Burkina Faso,135787,52800,82987,4659363,2303577,2355786,2.91,2.29,3.52,0
1998,Burkina Faso,129065,49769,79296,4806663,2381581,2425082,2.69,2.09,3.27,0
1999,Burkina Faso,122387,46866,75521,4967584,2467853,2499731,2.46,1.9,3.02,0
2000,Burkina Faso,115891,44143,71747,5141343,2561984,2579359,2.25,1.72,2.78,0
2001,Burkina Faso,109716,41652,68063,5328931,2664440,2664491,2.06,1.56,2.55,0
2002,Burkina Faso,103961,39426,64535,5530200,2775051,2755149,1.88,1.42,2.34,0
2003,Burkina Faso,98626,37431,61194,5738096,2889074,2849022,1.72,1.3,2.15,1499
2004,Burkina Faso,93836,35688,58148,5945932,3001953,2943979,1.58,1.19,1.98,3867
2005,Burkina Faso,89761,34253,55508,6152610,3113026,3039584,1.46,1.1,1.83,7716
2006,Burkina Faso,86575,33181,53394,6358247,3222296,3135951,1.36,1.03,1.7,12308
2007,Burkina Faso,84294,32486,51808,6563117,3329941,3233176,1.28,0.9756,1.6,14845
2008,Burkina Faso,82879,32133,50746,6770370,3437984,3332386,1.22,0.9346,1.52,20075
2009,Burkina Faso,82470,32185,50285,6983898,3548846,3435051,1.18,0.9069,1.46,25094
,,,,,,,,,,,
,,,,,,,,,,,
1985,Burundi,16555,7467,9088,1860117,912351,947766,0.89,0.8184,0.9589,0
1986,Burundi,24663,10931,13732,1934543,949721,984823,1.27,1.15,1.39,0
1987,Burundi,35782,15622,20160,2007923,986554,1021369,1.78,1.58,1.97,0
1988,Burundi,49808,21481,28326,2067622,1016345,1051277,2.41,2.11,2.69,0
1989,Burundi,66140,28219,37922,2121530,1042784,1078747,3.12,2.71,3.52,0
1990,Burundi,83581,35335,48245,2169463,1065802,1103661,3.85,3.32,4.37,0
1991,Burundi,100594,42170,58425,2217536,1088458,1129078,4.54,3.87,5.17,0
1992,Burundi,115527,48020,67507,2259678,1107754,1151924,5.11,4.33,5.86,0
1993,Burundi,127260,52465,74795,2297613,1124664,1172949,5.54,4.66,6.38,0
1994,Burundi,135216,55279,79937,2328184,1137708,1190476,5.81,4.86,6.71,0
1995,Burundi,139729,56620,83109,2357211,1149769,1207442,5.93,4.92,6.88,0
1996,Burundi,141339,56736,84603,2385556,1161292,1224264,5.92,4.89,6.91,0
1997,Burundi,141606,56299,85306,2432081,1181666,1250415,5.82,4.76,6.82,0
1998,Burundi,140866,55495,85371,2490912,1208614,1282298,5.66,4.59,6.66,0
1999,Burundi,140025,54737,85287,2573053,1248200,1324853,5.44,4.39,6.44,0
2000,Burundi,138775,53899,84876,2665615,1293939,1371676,5.21,4.17,6.19,0
2001,Burundi,137779,53254,84525,2781009,1351926,1429083,4.95,3.94,5.91,0
2002,Burundi,137213,52872,84341,2918816,1421882,1496935,4.7,3.72,5.63,600
2003,Burundi,137574,52943,84631,3090585,1509133,1581452,4.45,3.51,5.35,1210
2004,Burundi,137914,53051,84863,3268343,1599335,1669008,4.22,3.32,5.08,3900
2005,Burundi,138340,53236,85104,3451668,1692236,1759432,4.01,3.15,4.84,6416
2006,Burundi,137648,52981,84667,3605625,1770480,1835145,3.82,2.99,4.61,8048
2007,Burundi,137070,52795,84275,3765915,1851788,1914128,3.64,2.85,4.4,10928
2008,Burundi,136606,52683,83923,3925077,1932471,1992606,3.48,2.73,4.21,13043
2009,Burundi,136181,52616,83564,4081064,2011545,2069519,3.34,2.62,4.04,16065
,,,,,,,,,,,
,,,,,,,,,,,
1985,Cameroon,2641,1205,1436,4587686,2277112,2310574,0.0576,0.0529,0.0622,0
1986,Cameroon,4284,1919,2365,4730487,2348898,2381589,0.0906,0.0817,0.0993,0
1987,Cameroon,6982,3077,3905,4881704,2424936,2456768,0.143,0.1269,0.1589,0
1988,Cameroon,11425,4971,6454,5040965,2505022,2535942,0.2266,0.1984,0.2545,0
1989,Cameroon,18832,8104,10727,5205963,2587957,2618006,0.3617,0.3132,0.4098,0
1990,Cameroon,31443,13426,18017,5376984,2673849,2703134,0.5848,0.5021,0.6665,0
1991,Cameroon,53256,22605,30651,5554322,2762823,2791499,0.9588,0.8182,1.1,0
1992,Cameroon,90182,38100,52082,5738286,2855041,2883245,1.57,1.33,1.81,0
1993,Cameroon,145461,61316,84145,5929059,2950648,2978412,2.45,2.08,2.83,0
1994,Cameroon,210200,88473,121727,6126500,3049649,3076851,3.43,2.9,3.96,0
1995,Cameroon,268035,112600,155436,6330404,3151982,3178422,4.23,3.57,4.89,0
1996,Cameroon,312303,130833,181470,6541372,3258008,3283364,4.77,4.02,5.53,0
1997,Cameroon,345440,144207,201233,6758710,3367493,3391217,5.11,4.28,5.93,0
1998,Cameroon,370759,154154,216605,6979674,3479016,3500658,5.31,4.43,6.19,0
1999,Cameroon,390519,161671,228848,7201856,3591359,3610497,5.42,4.5,6.34,0
2000,Cameroon,406367,167495,238872,7424971,3704391,3720580,5.47,4.52,6.42,0
2001,Cameroon,419632,172228,247404,7651054,3819146,3831908,5.48,4.51,6.46,600
2002,Cameroon,431379,176354,255025,7880549,3935799,3944750,5.47,4.48,6.46,4000
2003,Cameroon,442238,180166,262073,8113146,4054141,4059005,5.45,4.44,6.46,8500
2004,Cameroon,452749,183901,268848,8348653,4174066,4174588,5.42,4.41,6.44,15296
2005,Cameroon,463265,187711,275553,8586739,4295446,4291294,5.4,4.37,6.42,16513
2006,Cameroon,474436,191869,282567,8828989,4418995,4409995,5.37,4.34,6.41,27389
2007,Cameroon,486136,196335,289801,9076897,4545363,4531535,5.36,4.32,6.4,43602
2008,Cameroon,498245,201064,297181,9328594,4673651,4654944,5.34,4.3,6.38,57299
2009,Cameroon,510879,206081,304798,9582013,4802799,4779214,5.33,4.29,6.38,73114
,,,,,,,,,,,
,,,,,,,,,,,
1985,Central African Republic,4464,2030,2435,1179251,579831,599420,0.3786,0.3501,0.4062,0
1986,Central African Republic,6793,3025,3768,1206531,593178,613353,0.563,0.51,0.6143,0
1987,Central African Republic,10450,4571,5879,1232209,605747,626462,0.8481,0.7546,0.9385,0
1988,Central African Republic,16313,7033,9280,1258954,618859,640094,1.3,1.14,1.45,0
1989,Central African Republic,25797,10991,14806,1289362,633791,655571,2,1.73,2.26,0
1990,Central African Republic,40830,17253,23578,1323465,650551,672914,3.09,2.65,3.5,0
1991,Central African Republic,62557,26279,36278,1361170,669096,692074,4.6,3.93,5.24,0
1992,Central African Republic,88786,37131,51655,1402309,689349,712960,6.33,5.39,7.25,0
1993,Central African Republic,114056,47554,66502,1444982,710369,734613,7.89,6.69,9.05,0
1994,Central African Republic,134147,55756,78392,1487328,731256,756072,9.02,7.62,10.37,0
1995,Central African Republic,148414,61452,86962,1529320,752013,777306,9.7,8.17,11.19,0
1996,Central African Republic,157838,65062,92776,1571107,772729,798377,10.05,8.42,11.62,0
1997,Central African Republic,163365,66998,96367,1612663,793410,819253,10.13,8.44,11.76,0
1998,Central African Republic,165590,67532,98059,1653196,813680,839515,10.02,8.3,11.68,0
1999,Central African Republic,164926,66856,98070,1692001,833205,858796,9.75,8.02,11.42,0
2000,Central African Republic,161847,65188,96659,1729183,852045,877138,9.36,7.65,11.02,0
2001,Central African Republic,156806,62733,94072,1764815,870239,894576,8.89,7.21,10.52,0
2002,Central African Republic,150260,59696,90564,1799286,887973,911313,8.35,6.72,9.94,50
2003,Central African Republic,142746,56306,86440,1834250,906052,928199,7.78,6.21,9.31,150
2004,Central African Republic,134754,52771,81983,1871638,925403,946234,7.2,5.7,8.66,590
2005,Central African Republic,126604,49230,77374,1911742,946143,965599,6.62,5.2,8.01,1588
2006,Central African Republic,118586,45807,72778,1954710,968316,986394,6.07,4.73,7.38,3011
2007,Central African Republic,110958,42605,68353,2001190,992203,1008987,5.54,4.29,6.77,6054
2008,Central African Republic,104154,39782,64371,2050773,1017534,1033239,5.08,3.91,6.23,9048
2009,Central African Republic,98077,37294,60783,2103048,1044096,1058952,4.66,3.57,5.74,14079
,,,,,,,,,,,
,,,,,,,,,,,
1985,Chad,9222,4295,4927,2272011,1124821,1147190,0.4059,0.3818,0.4295,0
1986,Chad,11801,5379,6421,2336465,1156604,1179860,0.5051,0.4651,0.5443,0
1987,Chad,14958,6689,8269,2408018,1191893,1216124,0.6212,0.5612,0.6799,0
1988,Chad,18742,8245,10497,2485114,1229918,1255196,0.7542,0.6704,0.8363,0
1989,Chad,23201,10062,13139,2564906,1269250,1295656,0.9046,0.7928,1.01,0
1990,Chad,28369,12160,16209,2647893,1310161,1337731,1.07,0.9281,1.21,0
1991,Chad,34269,14544,19725,2734128,1352702,1381427,1.25,1.08,1.43,0
1992,Chad,40901,17211,23690,2823790,1396984,1426806,1.45,1.23,1.66,0
1993,Chad,48248,20165,28083,2918114,1443643,1474471,1.65,1.4,1.9,0
1994,Chad,56299,23404,32895,3017871,1493071,1524800,1.87,1.57,2.16,0
1995,Chad,64976,26893,38083,3123097,1545301,1577797,2.08,1.74,2.41,0
1996,Chad,74208,30604,43604,3234443,1600640,1633803,2.29,1.91,2.67,0
1997,Chad,83877,34487,49390,3351910,1659100,1692810,2.5,2.08,2.92,0
1998,Chad,93813,38471,55342,3475173,1720582,1754592,2.7,2.24,3.15,0
1999,Chad,103834,42481,61353,3603611,1784852,1818759,2.88,2.38,3.37,0
2000,Chad,113769,46446,67324,3736855,1851776,1885079,3.04,2.51,3.57,0
2001,Chad,123407,50279,73129,3875291,1921575,1953716,3.18,2.62,3.74,0
2002,Chad,132598,53919,78679,4019697,1994621,2025076,3.3,2.7,3.89,0
2003,Chad,141044,57247,83797,4166590,2069134,2097457,3.39,2.77,4,250
2004,Chad,148506,60167,88339,4312453,2143269,2169184,3.44,2.81,4.07,450
2005,Chad,154818,62613,92205,4457739,2217170,2240569,3.47,2.82,4.12,1600
2006,Chad,160031,64610,95420,4603601,2291357,2312244,3.48,2.82,4.13,5500
2007,Chad,164271,66219,98052,4749124,2365389,2383734,3.46,2.8,4.11,7500
2008,Chad,167599,67454,100145,4898244,2441157,2457087,3.42,2.76,4.08,17600
2009,Chad,170545,68551,101993,5054179,2520208,2533971,3.37,2.72,4.03,31514
,,,,,,,,,,,
,,,,,,,,,,,
1985,Congo,24094,10940,13154,929920,462728,467192,2.59,2.36,2.82,0
1986,Congo,31986,14367,17620,961613,478607,483006,3.33,3,3.65,0
1987,Congo,38687,17199,21488,994301,494992,499309,3.89,3.47,4.3,0
1988,Congo,46061,20269,25792,1027702,511748,515954,4.48,3.96,5,0
1989,Congo,52854,23032,29822,1061431,528693,532738,4.98,4.36,5.6,0
1990,Congo,56787,24529,32258,1095565,545874,549691,5.18,4.49,5.87,0
1991,Congo,58175,24909,33266,1130169,563326,566843,5.15,4.42,5.87,0
1992,Congo,58235,24707,33528,1165339,581103,584236,5,4.25,5.74,0
1993,Congo,57692,24252,33440,1200252,598802,601450,4.81,4.05,5.56,0
1994,Congo,56881,23695,33186,1233725,615835,617890,4.61,3.85,5.37,0
1995,Congo,56008,23133,32876,1265549,632100,633448,4.43,3.66,5.19,0
1996,Congo,55229,22636,32592,1296036,647755,648281,4.26,3.49,5.03,0
1997,Congo,54630,22247,32383,1325196,662802,662394,4.12,3.36,4.89,0
1998,Congo,54372,22031,32342,1355792,678602,677190,4.01,3.25,4.78,0
1999,Congo,54558,22027,32530,1390393,696411,693982,3.92,3.16,4.69,0
2000,Congo,55122,22208,32914,1428600,716018,712582,3.86,3.1,4.62,0
2001,Congo,55997,22541,33456,1470691,737552,733139,3.81,3.06,4.56,0
2002,Congo,57070,22974,34096,1516552,760953,755598,3.76,3.02,4.51,0
2003,Congo,58162,23430,34731,1563584,784936,778648,3.72,2.98,4.46,0
2004,Congo,59129,23847,35282,1609500,808373,801127,3.67,2.95,4.4,0
2005,Congo,59943,24204,35739,1654473,831334,823140,3.62,2.91,4.34,2056
2006,Congo,60712,24543,36169,1698909,853997,844912,3.57,2.87,4.28,5631
2007,Congo,61508,24896,36612,1742433,876193,866240,3.53,2.84,4.23,6673
2008,Congo,62192,25193,36999,1787457,899128,888329,3.48,2.8,4.16,7376
2009,Congo,62717,25411,37306,1836891,924231,912660,3.41,2.75,4.09,7998
,,,,,,,,,,,
,,,,,,,,,,,
1985,Cote dIvoire,15840,7966,7874,4632008,2479876,2152132,0.342,0.3212,0.3659,0
1986,Cote dIvoire,24480,12070,12410,4820842,2576039,2244803,0.5078,0.4686,0.5528,0
1987,Cote dIvoire,37865,18339,19526,5014513,2673754,2340759,0.7551,0.6859,0.8342,0
1988,Cote dIvoire,58420,27872,30548,5216247,2775055,2441192,1.12,1,1.25,0
1989,Cote dIvoire,89492,42145,47348,5428365,2881524,2546841,1.65,1.46,1.86,0
1990,Cote dIvoire,134786,62837,71949,5650915,2993214,2657701,2.39,2.1,2.71,0
1991,Cote dIvoire,196557,90901,105656,5884095,3110222,2773873,3.34,2.92,3.81,0
1992,Cote dIvoire,272274,125096,147178,6127522,3232356,2895166,4.44,3.87,5.08,0
1993,Cote dIvoire,352803,161332,191471,6375976,3356361,3019615,5.53,4.81,6.34,0
1994,Cote dIvoire,426075,194035,232040,6623269,3478475,3144795,6.43,5.58,7.38,0
1995,Cote dIvoire,483976,219461,264515,6867304,3597658,3269646,7.05,6.1,8.09,0
1996,Cote dIvoire,524510,236687,287822,7109105,3714468,3394637,7.38,6.37,8.48,0
1997,Cote dIvoire,549224,246449,302774,7348045,3828709,3519336,7.47,6.44,8.6,0
1998,Cote dIvoire,560312,249821,310492,7578509,3937774,3640734,7.39,6.34,8.53,0
1999,Cote dIvoire,560082,247950,312132,7794152,4038798,3755353,7.19,6.14,8.31,0
2000,Cote dIvoire,550640,241889,308751,7994275,4131727,3862548,6.89,5.85,7.99,0
2001,Cote dIvoire,533990,232634,301356,8182317,4218518,3963800,6.53,5.51,7.6,0
2002,Cote dIvoire,511836,221032,290804,8359310,4299822,4059488,6.12,5.14,7.16,0
2003,Cote dIvoire,486434,208155,278279,8538169,4382426,4155743,5.7,4.75,6.7,2399
2004,Cote dIvoire,459782,194930,264852,8731593,4472887,4258707,5.27,4.36,6.22,5150
2005,Cote dIvoire,432998,181894,251104,8941052,4571796,4369256,4.84,3.98,5.75,17404
2006,Cote dIvoire,407506,169692,237814,9168704,4680209,4488495,4.44,3.63,5.3,27246
2007,Cote dIvoire,383367,158334,225033,9412757,4797261,4615496,4.07,3.3,4.88,34736
2008,Cote dIvoire,360891,147920,212972,9673774,4923109,4750666,3.73,3,4.48,51833
2009,Cote dIvoire,341122,138890,202232,9952655,5058123,4894532,3.43,2.75,4.13,72011
,,,,,,,,,,,
,,,,,,,,,,,
1985,Democratic Republic of the Congo,189322,87498,101824,13855279,6812135,7043145,1.37,1.28,1.45,0
1986,Democratic Republic of the Congo,204018,92875,111143,14259119,7016927,7242193,1.43,1.32,1.53,0
1987,Democratic Republic of the Congo,214158,96075,118083,14683958,7232162,7451797,1.46,1.33,1.58,0
1988,Democratic Republic of the Congo,220676,97607,123070,15136303,7461080,7675223,1.46,1.31,1.6,0
1989,Democratic Republic of the Congo,225006,98131,126876,15621723,7706403,7915320,1.44,1.27,1.6,0
1990,Democratic Republic of the Congo,228372,98238,130134,16143316,7969743,8173573,1.41,1.23,1.59,0
1991,Democratic Republic of the Congo,231623,98314,133309,16703976,8252556,8451421,1.39,1.19,1.58,0
1992,Democratic Republic of the Congo,235318,98618,136701,17304496,8555224,8749272,1.36,1.15,1.56,0
1993,Democratic Republic of the Congo,239456,99209,140246,17915012,8862977,9052034,1.34,1.12,1.55,0
1994,Democratic Republic of the Congo,243820,100026,143795,18506104,9161226,9344879,1.32,1.09,1.54,0
1995,Democratic Republic of the Congo,248476,101112,147364,19076306,9449202,9627103,1.3,1.07,1.53,0
1996,Democratic Republic of the Congo,253538,102524,151014,19627462,9727820,9899641,1.29,1.05,1.53,0
1997,Democratic Republic of the Congo,258960,104238,154722,20157532,9996027,10161505,1.28,1.04,1.52,0
1998,Democratic Republic of the Congo,265051,106359,158692,20697512,10269030,10428481,1.28,1.04,1.52,0
1999,Democratic Republic of the Congo,272258,109048,163210,21284348,10565068,10719280,1.28,1.03,1.52,0
2000,Democratic Republic of the Congo,280603,112293,168310,21920404,10885273,11035131,1.28,1.03,1.53,0
2001,Democratic Republic of the Congo,290109,116086,174023,22613210,11233339,11379872,1.28,1.03,1.53,0
2002,Democratic Republic of the Congo,300781,120408,180372,23364446,11610099,11754346,1.29,1.04,1.53,0
2003,Democratic Republic of the Congo,312461,125181,187280,24166700,12011992,12154709,1.29,1.04,1.54,0
2004,Democratic Republic of the Congo,325029,130339,194690,25009876,12434127,12575750,1.3,1.05,1.55,4536
2005,Democratic Republic of the Congo,338542,135895,202647,25887656,12873359,13014297,1.31,1.06,1.56,9096
2006,Democratic Republic of the Congo,352981,141831,211150,26801578,13330351,13471227,1.32,1.06,1.57,19973
2007,Democratic Republic of the Congo,368374,148161,220213,27750874,13804766,13946108,1.33,1.07,1.58,19081
2008,Democratic Republic of the Congo,384271,154670,229600,28731526,14294677,14436849,1.34,1.08,1.59,23268
2009,Democratic Republic of the Congo,400517,161287,239230,29738740,14797295,14941446,1.35,1.09,1.6,29599
,,,,,,,,,,,
,,,,,,,,,,,
1985,Djibouti,354,164,190,193013,96553,96460,0.1832,0.1694,0.197,0
1986,Djibouti,537,244,293,205436,102796,102640,0.2613,0.2371,0.2855,0
1987,Djibouti,804,359,445,219720,109974,109746,0.366,0.3267,0.4054,0
1988,Djibouti,1177,519,658,234191,117249,116942,0.5027,0.4427,0.5628,0
1989,Djibouti,1668,727,941,247126,123754,123372,0.6749,0.5875,0.7627,0
1990,Djibouti,2281,985,1296,258456,129456,129001,0.8825,0.7611,1,0
1991,Djibouti,3022,1296,1726,268124,134324,133800,1.13,0.9648,1.29,0
1992,Djibouti,3881,1654,2228,276066,138328,137738,1.41,1.2,1.62,0
1993,Djibouti,4837,2051,2786,283584,142121,141464,1.71,1.44,1.97,0
1994,Djibouti,5856,2473,3383,292032,146384,145648,2.01,1.69,2.32,0
1995,Djibouti,6882,2896,3986,301436,151131,150305,2.28,1.92,2.65,0
1996,Djibouti,7850,3293,4558,311818,156375,155443,2.52,2.11,2.93,0
1997,Djibouti,8713,3641,5071,323205,162132,161073,2.7,2.25,3.15,0
1998,Djibouti,9433,3928,5505,335029,168114,166915,2.82,2.34,3.3,0
1999,Djibouti,9990,4143,5847,346714,174034,172680,2.88,2.38,3.39,0
2000,Djibouti,10397,4294,6103,358271,179896,178374,2.9,2.39,3.42,0
2001,Djibouti,10679,4391,6288,369729,185716,184013,2.89,2.36,3.42,0
2002,Djibouti,10865,4449,6416,381066,191482,189584,2.85,2.32,3.38,0
2003,Djibouti,10984,4480,6504,392343,197223,195120,2.8,2.27,3.33,0
2004,Djibouti,11065,4497,6568,403613,202965,200648,2.74,2.22,3.27,200
2005,Djibouti,11149,4518,6631,414871,208704,206167,2.69,2.16,3.22,350
2006,Djibouti,11246,4547,6699,426121,214443,211678,2.64,2.12,3.16,596
2007,Djibouti,11370,4589,6781,437402,220200,217202,2.6,2.08,3.12,705
2008,Djibouti,11510,4641,6869,448677,225957,222720,2.57,2.05,3.08,792
2009,Djibouti,11663,4699,6963,459843,231659,228184,2.54,2.03,3.05,889
,,,,,,,,,,,
,,,,,,,,,,,
1985,Equatorial Guinea,56,26,30,166400,82037,84363,0.0339,0.0321,0.0356,0
1986,Equatorial Guinea,76,35,41,174845,86224,88621,0.0434,0.0402,0.0466,0
1987,Equatorial Guinea,101,45,56,181228,89379,91849,0.0556,0.0504,0.0608,0
1988,Equatorial Guinea,133,58,75,186373,91917,94456,0.0714,0.0635,0.079,0
1989,Equatorial Guinea,175,76,100,191226,94312,96914,0.0916,0.0803,0.1027,0
1990,Equatorial Guinea,231,99,132,195909,96626,99283,0.1179,0.102,0.1334,0
1991,Equatorial Guinea,305,129,176,200531,98913,101618,0.152,0.1301,0.1733,0
1992,Equatorial Guinea,403,169,234,205200,101225,103974,0.1965,0.1667,0.2255,0
